               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10905,            0.027306,            0.045585,            0.064465,             0.18103,            0.073703,            0.026993,             0.08733,            0.023376,            0.035131,              0.0775,              0.0025,              0.0025
                   1,            0.083936,            0.026314,            0.031129,             0.89927,             0.22414,             0.24404,             0.11287,            0.072371,            0.021922,            0.025598,            0.052417,            0.003417,            0.003417
                   2,            0.065954,            0.028181,            0.024744,             0.74617,             0.25751,               0.335,             0.12197,            0.059589,            0.021003,            0.022416,            0.025618,            0.002618,            0.002618
